Ticker	CIK
aapl	320193
msft	789019
amzn	1018724
goog	1652044
fb	1326801
tcehy	1293451
tsla	1318605
brk-a	1067983
tsm	1046179
baba	1577552
v	1403161
nvda	1045810
jpm	19617
jnj	200406
lvmuy	824046
wmt	104169
spy	884394
unh	731766
ma	1141391
bac	70858
pypl	1633917
hd	354950
pg	80424
dis	1744489
asml	937966
adbe	796343
xom	34088
cmcsa	1166691
idcby	1445468
nke	320187
tm	1094517
nflx	1065280
ko	21344
vz	732712
intc	50863
crm	1108524
csco	858877
lly	59478
pfe	78003
orcl	1341439
cihky	1495688
abt	1800
t	732717
nvs	1114448
pep	77476
cvx	93410
orcl	1341439
abbv	1551152
tmo	97745
cichy	1445474
mrk	310158
vwdry	1330306
avgo	1730168
nvo	353278
dhr	313616
wfc	72971
acn	1467373
bhp	811809
ups	1090727
tmus	1283699
shop	1594805
txn	97476
cost	909832
mcd	63908
ms	895421
mdt	1613103
sap	1000184
qcom	804328
acgby	1501437
pdd	1737806
azn	901832
rds-a	1306965
pm	1413329
rtntf	887028
ul	217410
hesay	1436949
hon	773840
bmy	14272
lin	1707925
ptr	1108329
bbl	1171264
chdry	1450488
c	831001
unp	100885
ry	1000275
se	1703399
nee	753308
bud	1668717
ba	12927
amgn	318154
qqq	1067839
schw	316709
low	60667
chtr	1091667
hdb	1144967
intu	896878
blk	1364742
axp	4962
rio	863064
sbux	829224
sny	1121404
ibm	51143
amat	6951
rtx	101829
gs	886982
bachy	1378999
td	947263
lfc	1268896
jd	1549802
sony	313838
amt	1053507
tte	879764
sftby	1065521
tgt	27419
cat	18230
ge	40545
hsbc	1089113
vale	917851
el	1001250
mmm	66740
amd	2488
zm	1585521
deo	835403
sq	1512673
idexy	1438656
de	315189
cvs	64803
ppruy	1445465
isrg	1035267
now	1373715
lmt	936468
snap	1564408
eadsy	1378580
byddy	1445162
gsk	1131399
spgi	64040
syk	310764
dmlry	1067318
mu	723125
abnb	1559720
mrna	1682852
uber	1543151
antm	1156039
lrcx	707549
infy	1067491
bti	1303523
bkng	1075531
bp	313807
swgay	1438845
mo	764180
zts	1555280
pld	1045609
sbgsy	923734
fis	1136893
mdlz	1103982
nio	1736541
gild	882095
gm	1467858
usb	36104
adp	8670
cci	1051470
cta-pa	30554
aiquy	1161167
cop	1163165
tjx	109198
enb	895728
esloy	1085922
ci	1739940
pnc	713676
pbr	1119639
bam	1001085
fdx	1048911
bns	9631
ntes	1110646
meli	1099590
frcoy	1446595
snp	1123658
dell	1571996
cme	1156375
duk	1326160
hkxcy	1445476
cni	16868
tfc	92230
atvi	718877
shw	89800
cpng	1834584
eqix	1101239
snow	1640147
mmc	62709
cb	896159
fisv	798354
atlcy	748954
kddiy	1106215
bidu	1329099
wbk	719245
bdx	10795
itw	49826
shecy	1442651
mufg	67088
cof	927628
pstvy	1689565
ilmn	1110803
bx	1393818
eqnr	1140625
cl	21665
abb	1091587
cfruy	948401
hca	860730
mco	1059556
njdcy	1158967
san	891478
toely	1443276
vmw	1124610
ice	1571949
twlo	1447669
nsc	702165
bmo	927971
coin	1679788
chgcy	1453934
apd	2969
ew	1099800
team	1650372
adsk	769397
so	92122
adi	6281
rbgly	1420798
stla	1605484
bsbr	1471055
roku	1428439
bsx	885725
vcisy	1065198
dnngy	1679771
regn	872589
